Week,Day,Date,Type,Theme,Caption Summary,Image Suggestion,Channel,Status
Pre-launch,Tuesday,TBC-5d,Teaser,The Hint,"Something we've been working towards is nearly ready.",Hands at work / farm dawn,IG + FB,Draft
Pre-launch,Thursday,TBC-3d,Teaser,Behind the Scenes,"Our crew our craft right here in the valley.",Butchery space / team prep,IG + FB,Draft
Pre-launch,Saturday,TBC-1d,Teaser,The Land,"Raised on regenerative pastures in Mangaroa Valley.",Cattle/sheep on pasture,IG + FB,Draft
Launch,Launch Day,TBC,Announcement,Launch,"Home-grown home-processed. Fresh beef and lamb now available.",Hero product/cabinet shot,IG + FB,Draft
Launch,Launch Day,TBC,Stories,Launch Event,"It's here + cabinet walkthrough + online order link + bulk CTA",Multiple story frames,IG Stories,Draft
Week 1,Monday,TBC+3d,This Week's Cuts,Product,"This week from the butchery: [list cuts]",Cabinet / flat-lay,IG + FB,Draft
Week 1,Wednesday,TBC+5d,Recipe,Cooking Tip,"Lamb shoulder — low and slow at 150C",Food / cooking shot,IG + FB,Draft
Week 1,Friday,TBC+7d,Farm Story,Behind Scenes,"[Farm/butchery story of the week]",Farm / team / landscape,IG + FB,Draft
Week 2,Monday,TBC+10d,This Week's Cuts,Product,"This week from the butchery: [list cuts]",Cabinet / flat-lay,IG + FB,Draft
Week 2,Wednesday,TBC+12d,Recipe,Cooking Tip,"Beef mince — the base of everything",Food shot,IG + FB,Draft
Week 2,Friday,TBC+14d,Farm Story,Regenerative,"What regenerative farming looks like this week",Pasture / soil / animals,IG + FB,Draft
Week 3,Monday,TBC+17d,This Week's Cuts,Product,"This week from the butchery: [list cuts]",Cabinet / flat-lay,IG + FB,Draft
Week 3,Wednesday,TBC+19d,Recipe,Cooking Tip,"Scotch fillet — salt pepper hot pan 3 min a side",Steak shot,IG + FB,Draft
Week 3,Friday,TBC+21d,Farm Story,Team,"Meet [team member / butcher]",Portrait / at work,IG + FB,Draft
Week 4,Monday,TBC+24d,This Week's Cuts,Product,"This week from the butchery: [list cuts]",Cabinet / flat-lay,IG + FB,Draft
Week 4,Wednesday,TBC+26d,Recipe,Cooking Tip,"[Seasonal recipe suggestion]",Food shot,IG + FB,Draft
Week 4,Friday,TBC+28d,Farm Story,Provenance,"Paddock to counter — tracing the journey",Supply chain / landscape,IG + FB,Draft
Week 5,Monday,TBC+31d,This Week's Cuts,Product,"This week from the butchery: [list cuts]",Cabinet / flat-lay,IG + FB,Draft
Week 5,Wednesday,TBC+33d,Bulk Orders,Custom,"Whole lamb. Side of beef. Register your interest.",Product / farm shot,IG + FB,Draft
Week 5,Friday,TBC+35d,Farm Story,Seasonal,"[Seasonal farm update]",Landscape / animals,IG + FB,Draft
Week 6,Monday,TBC+38d,This Week's Cuts,Product,"This week from the butchery: [list cuts]",Cabinet / flat-lay,IG + FB,Draft
Week 6,Wednesday,TBC+40d,Recipe,Cooking Tip,"[Winter warmer suggestion]",Food shot,IG + FB,Draft
Week 6,Friday,TBC+42d,Farm Story,Reflection,"One month in — what we have learned",Team / farm / customers,IG + FB,Draft
